Year,Park,Site,Borough,Latitude,Longitude,SM_ID,Sex_01,Weight,ISCAP_Larva,DON_IS,DIN_Borrelia,DIN_Babesia,Borrelia_qPCR,Babesia_qPCR,Effort_qPCR,Connect_site_1000,Impervious_site,SM_abundance,MM_abundance
2023,Forest,Q-FT14,Queens,40.7032596,-73.850759,SM-051,1,37,0,0.125,0.0625,0,0,0,1,9.980720285,0.1421,3.89,15.56
2023,Forest,Q-FT14,Queens,40.7032596,-73.850759,SM-052,0,29,0,0.125,0.0625,0,0,0,2,9.980720285,0.1421,3.89,15.56
2024,Forest,Q-FT14,Queens,40.7026308,-73.851509,SM-169,1,30,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7027548,-73.851179,SM-171,1,27,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7026308,-73.851509,SM-187,0,25,0,0.0625,0,0,0,0,2,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7026308,-73.851509,SM-188,0,20,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2023,Forest,Q-FT14,Queens,40.7028992,-73.850959,SM-050,1,27,0,0.125,0.0625,0,0,0,1,9.980720285,0.1421,3.89,15.56
2023,Kissena,Q-KA12,Queens,40.7426814,-73.8064,SM-054,1,30,0,0.0625,0,0,0,0,1,7.900135036,0.1403,5.56,12.5
2024,Kissena,Q-KA12,Queens,40.743396,-73.805134,SM-195,1,23,0,0.0625,0,0,0,0,2,7.900135036,0.1403,11.81,25
2023,Kissena,Q-KA12,Queens,40.7429073,-73.805251,SM-068,0,25,0,0.0625,0,0,0,0,2,7.900135036,0.1403,5.56,12.5
2023,Kissena,Q-KA12,Queens,40.7424604,-73.806556,SM-069,0,9,0,0.0625,0,0,0,0,1,7.900135036,0.1403,5.56,12.5
2024,Kissena,Q-KA12,Queens,40.7450877,-73.804624,SM-182,1,22,0,0.0625,0,0,0,0,1,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7435677,-73.804788,SM-199,1,30,0,0.0625,0,0,0,0,2,7.900135036,0.1403,11.81,25
2023,Kissena,Q-KA12,Queens,40.7433965,-73.805134,SM-067,0,23,0,0.0625,0,0,0,0,1,7.900135036,0.1403,5.56,12.5
2024,Kissena,Q-KA12,Queens,40.7435677,-73.804788,SM-193,0,24,0,0.0625,0,0,0,0,1,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7429073,-73.805251,SM-194,1,22,0,0.0625,0,0,0,0,2,7.900135036,0.1403,11.81,25
2023,Kissena,Q-KA12,Queens,40.7450875,-73.804624,SM-065,1,22,0,0.0625,0,0,1,0,1,7.900135036,0.1403,5.56,12.5
2023,Kissena,Q-KA12,Queens,40.7436863,-73.805032,SM-066,1,13,0,0.0625,0,0,0,0,1,7.900135036,0.1403,5.56,12.5
2024,Kissena,Q-KA12,Queens,40.7435677,-73.804788,SM-178,1,26,0,0.0625,0,0,0,0,1,7.900135036,0.1403,11.81,25
2023,Kissena,Q-KA12,Queens,40.7443549,-73.80483,SM-055,0,24,0,0.0625,0,0,0,0,2,7.900135036,0.1403,5.56,12.5
2023,Kissena,Q-KA12,Queens,40.7424604,-73.806556,SM-056,1,20,0,0.0625,0,0,0,0,2,7.900135036,0.1403,5.56,12.5
2024,Kissena,Q-KA12,Queens,40.7426817,-73.8064,SM-196,0,22,0,0.0625,0,0,0,0,1,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7448563,-73.805014,SM-197,0,16,0,0.0625,0,0,0,0,1,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7448563,-73.805014,SM-198,1,20,0,0.0625,0,0,0,0,1,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7426817,-73.8064,SM-176,1,23,0,0.0625,0,0,0,0,2,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7448563,-73.805014,SM-177,1,32,0,0.0625,0,0,0,0,2,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7436866,-73.805031,SM-180,1,26,0,0.0625,0,0,0,0,1,7.900135036,0.1403,11.81,25
2024,Kissena,Q-KA12,Queens,40.7450877,-73.804624,SM-181,0,22,0,0.0625,0,0,0,0,2,7.900135036,0.1403,11.81,25
2023,Blue Heron,SI-BH07,Staten Island,40.5303489,-74.177852,SM-049,1,34,0,0.25,0.1875,0,1,0,1,33.02932373,0.0473,1.04,3.23
2023,Conference House,SI-CH17,Staten Island,40.4998622,-74.249274,SM-029,0,23,14,1.2,0.4,0,1,1,2,7.053165381,0.1406,6.25,21.43
2024,Conference House,SI-CH17,Staten Island,40.4996873,-74.249653,SM-137,1,24,1,0.8889,0.3333,0.1111,0,0,2,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.498988,-74.249424,SM-124,0,25,0,0.8889,0.3333,0.1111,0,1,2,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.4998372,-74.249679,SM-136,1,22,0,0.8889,0.3333,0.1111,1,1,2,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.498988,-74.249424,SM-125,1,23,0,0.8889,0.3333,0.1111,1,1,2,7.053165381,0.1406,9.31,33.33
2024,Conference House,SI-CH17,Staten Island,40.498988,-74.249424,SM-126,0,22,0,0.8889,0.3333,0.1111,0,0,1,7.053165381,0.1406,9.31,33.33
